n,i;dist;answer,time
Intro
003,1;5;6.535534,0
003,2;5;6.535534,0.01663017
003,3;6;7.24264,0.01656914
003,4;3;5.12132,0.01727152
003,5;5;6.535534,0.01602459
003,6;4;5.828427,0.0164032
003,7;6;7.24264,0.01715469
003,8;3;5.12132,0.01696062
003,9;4;5.828427,0.01695251
003,10;3;5.12132,0.01578856
Rep 1
003,1;3;5.12132,0
003,2;3;5.12132,0.01660442
003,3;5;6.535534,0.01652908
003,4;4;5.828427,0.01747894
003,5;5;6.535534,0.01626968
003,6;4;5.828427,0.01727486
003,7;6;7.24264,0.01603985
003,8;3;5.12132,0.01638699
003,9;6;7.24264,0.01659107
003,10;4;5.828427,0.01654148
003,11;6;7.24264,0.01656818
003,12;5;6.535534,0.01688385
Rep 2
003,1;3;5.12132,0
003,2;5;6.535534,0.01648331
003,3;5;6.535534,0.01654816
003,4;4;5.828427,0.01656914
003,5;6;7.24264,0.01656342
003,6;6;7.24264,0.01735306
003,7;6;7.24264,0.0157814
003,8;3;5.12132,0.01657009
003,9;5;6.535534,0.01715565
003,10;4;5.828427,0.01597595
003,11;3;5.12132,0.01656437
003,12;4;5.828427,0.01656914
Rep 3
003,1;3;5.12132,0
003,2;4;5.828427,0.01651096
003,3;3;5.12132,0.01648521
003,4;5;6.535534,0.01647663
003,5;5;6.535534,0.01646614
003,6;6;7.24264,0.01656628
003,7;6;7.24264,0.01656818
003,8;4;5.828427,0.01656628
003,9;5;6.535534,0.01656723
003,10;4;5.828427,0.01656532
003,11;6;7.24264,0.0167284
003,12;3;5.12132,0.01648235
